 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Lg,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Pos,Awards,-9999
68,Josh Naylor*,28,SEA,AL,210,0.38,141,0.322,0.191,4.3,16.2,5.2,89.3,45.3,22.4,47.8,22.4,0.93,35.4,55.3,9.3,0.8,0.70%,13.31,37.1,100,30.8,3/DH,,naylojo01
69,Kyle Tucker*,28,CHC,NL,597,0.375,143,0.282,0.198,3.7,14.7,14.6,90,40.4,26.7,33.7,32.7,0.51,38.9,45.2,15.9,2.5,1.90%,33.58,34.2,89.3,38.6,*9D/H,ASSS,tuckeky01
70,Anthony Volpe,24,NYY,AL,596,0.287,80,0.252,0.18,3.2,25.2,7.2,88.8,41.9,21.6,40.9,29.8,0.7,23.8,55.1,21.1,-1.9,-2.20%,-22.07,31.7,69.2,46.3,*6/H,,volpean01
71,Sal Frelick*,25,MIL,NL,594,0.335,110,0.317,0.117,2,13.5,7.9,84.8,27.5,23.2,45,20.2,0.84,34.6,48.7,16.7,0.6,0.60%,11.5,33,76,44.1,*98/H35,,frelisa01
72,Otto López,26,MIA,NL,594,0.307,89,0.264,0.121,2.5,13.8,7.4,88.4,38.4,23.4,48.4,23.2,0.94,26.5,55.3,18.3,0.2,-0.40%,4.04,30.7,71.4,58.6,*64/HD,,lopezot01
73,Michael Busch*,27,CHC,NL,592,0.376,148,0.292,0.261,5.7,23.5,9.5,92.1,47.4,23.5,35.9,37,0.56,35.9,49.6,14.5,1.9,1.40%,29.11,26,100,22.4,*3H/D,MVP-16,buschmi02
74,Marcell Ozuna,34,ATL,NL,592,0.342,118,0.28,0.168,3.5,24.3,15.9,89.9,44.9,22.3,40.3,32.6,0.67,26,56.3,17.7,0.3,0.00%,2.06,21.2,,36.4,*D/H,,ozunama01
75,Nick Castellanos,33,PHI,NL,589,0.309,87,0.298,0.15,2.9,22.6,5.4,87.8,34.7,26.7,38.8,31,0.63,29.3,53.6,17.1,-2.6,-2.40%,-13.79,35.3,100,40,*9/DH,,casteni01
76,Jackson Chourio,21,MIL,NL,589,0.339,112,0.308,0.193,3.6,20.5,5.1,88.8,42.3,24.1,41.8,25.7,0.73,23.4,55.9,20.7,0.9,1.00%,7.25,41.9,75,53.7,*879/D,,chourja01
77,Jordan Beck,24,COL,NL,588,0.327,94,0.351,0.158,2.7,29.6,7.3,86.6,38.7,26.2,41,26.5,0.71,30.3,56.3,13.4,-1.5,0.00%,-8.88,26.7,70.4,48.9,*7H/D8,,beckjo01
78,Ernie Clement,29,TOR,AL,588,0.306,91,0.296,0.121,1.5,10.4,4.6,85.6,26.1,27.6,33.1,28.6,0.51,29.8,52.2,17.9,-0.9,-0.20%,-12.83,42.3,54.5,58.7,5463H,,clemeer01
79,Ceddanne Rafaela,24,BOS,AL,587,0.309,92,0.289,0.165,2.7,19.9,4.8,87.7,38.7,21.4,43.1,26,0.77,27.4,55.3,17.3,0.5,0.10%,-5.88,42.5,80,65.9,*84/H,GG,rafaece01
80,George Springer,35,TOR,AL,586,0.414,165,0.34,0.251,5.5,18.9,11.8,89.9,47.4,25.6,37.6,28.4,0.6,30.2,53.7,16.1,3.2,2.50%,41.05,37,94.7,48.8,D978/H,MVP-7SS,springe01
